Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
0AglsCL6,2026-03-05,18:00,COLOMBIA 1,Apertura,Deportes Tolima,Santa Fe,3.0,1.95,4.33,1.57,2.25,3.75,1.25,11.0,1.05,2.15,3.0,3.4,1.11,6.5,1.5,2.5,2.6,1.48,5.0,1.17,13.0,1.04,2.2,1.62,1.3,1.36,1.67
hKAhGKVF,2026-03-05,18:00,GUATEMALA 1,Clausura,Coban Imperial,Xelaju,2.2,2.1,5.5,1.4,2.75,3.2,1.3,8.0,1.06,1.57,3.6,5.0,1.06,8.5,1.36,3.1,2.2,1.65,4.2,1.22,8.5,1.06,2.1,1.67,1.11,1.25,2.1
80vnl0WN,2026-03-05,19:00,COPA SUDAMERICANA,Qualification,Boston River (Uru),Racing Montevideo (Uru),3.2,1.95,3.75,1.53,2.38,3.5,1.29,11.0,1.05,2.45,3.1,3.1,1.1,7.0,1.44,2.63,2.5,1.5,5.0,1.17,11.0,1.05,2.1,1.67,1.36,1.36,1.53
vqVHrvfo,2026-03-05,19:00,COPA SUDAMERICANA,Qualification,Nacional Asuncion (Par),Recoleta (Par),2.2,2.2,6.5,1.44,2.63,3.0,1.36,9.0,1.07,1.6,3.6,6.5,1.08,8.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,2.1,1.67,1.11,1.29,2.3
hpjtqYjf,2026-03-05,20:10,COLOMBIA 1,Apertura,Llaneros,Inter Bogotá,2.88,1.91,4.75,1.57,2.25,3.75,1.25,13.0,1.04,2.05,3.0,3.9,1.13,6.0,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,1.25,1.36,1.73
pIkX8xOk,2026-03-05,21:00,GUATEMALA 1,Clausura,Mictlan,Aurora F.C.,2.63,2.1,4.0,1.36,2.88,2.88,1.36,7.5,1.06,1.91,3.3,3.6,1.05,10.0,1.3,3.4,2.0,1.8,3.4,1.3,6.5,1.1,1.73,2.0,1.25,1.25,1.73
QmUPPrFN,2026-03-05,21:30,COPA LIBERTADORES,Qualification,Juventud (Uru),Ind. Medellin (Col),3.75,2.0,3.1,1.5,2.5,3.4,1.3,10.0,1.06,2.9,3.3,2.3,1.08,8.0,1.4,2.75,2.3,1.6,4.33,1.2,10.0,1.06,2.0,1.73,1.57,1.33,1.4
nojwjM1B,2026-03-05,21:30,COPA SUDAMERICANA,Qualification,America De Cali (Col),Bucaramanga (Col),2.88,1.91,4.5,1.57,2.25,3.75,1.25,13.0,1.04,2.2,3.0,3.8,1.13,6.0,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.2,1.62,1.25,1.36,1.67
44Ri17R9,2026-03-05,21:30,COPA SUDAMERICANA,Qualification,Cienciano (Per),FBC Melgar (Per),3.0,2.25,3.25,1.33,3.25,2.63,1.44,6.5,1.11,2.5,3.25,2.88,1.05,11.0,1.25,3.75,1.83,2.03,3.0,1.36,5.5,1.14,1.62,2.2,1.4,1.33,1.5
dbcq5YRQ,2026-03-05,22:00,NICARAGUA 1,Clausura,Esteli,Jalapa,1.27,4.2,6.4,0.0,0.0,1.16,3.8,1.57,2.06,1.27,4.2,6.4,0.0,0.0,1.16,3.8,1.57,2.06,2.43,1.4,4.1,1.14,1.27,4.2,1.05,1.13,2.6
MPscujjJ,2026-03-05,22:20,COLOMBIA 1,Apertura,Junior,Alianza,2.05,2.25,7.0,1.4,2.75,3.0,1.36,8.0,1.08,1.45,3.9,7.0,1.06,9.5,1.33,3.25,2.03,1.78,3.5,1.29,7.0,1.1,2.1,1.67,1.1,1.25,2.63
t09kVRRp,2026-03-05,23:00,COPA SUDAMERICANA,Qualification,Orense (Ecu),Macara (Ecu),2.6,2.0,5.0,1.5,2.5,3.5,1.29,11.0,1.05,1.91,3.2,4.75,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.1,1.67,1.18,1.36,1.83
CICVOCBa,2026-03-05,23:00,COSTA RICA 1,Clausura,Saprissa,Sporting FC,2.24,2.14,4.89,1.38,2.75,0.0,0.0,0.0,0.0,1.66,3.33,4.75,0.0,0.0,1.3,3.1,1.98,1.71,3.5,1.25,6.5,1.07,1.88,1.78,1.15,1.25,1.87
