Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
U9oUQOgl,ENGLAND 2,ROUND 7,2025-09-27,11:00,Southampton,Middlesbrough,2.75,2.2,3.6,1.36,3.0,2.63,1.44,7.0,1.1,2.15,3.4,3.2,1.05,11.0,1.25,4.0,1.85,2.0,3.2,1.36,5.5,1.14,1.67,2.1,1.36,1.3,1.67,11.0,11.0,17.0,34.0,8.5,6.5,11.0,23.0,11.0,9.0,13.0,29.0,21.0,17.0,26.0,41.0,201.0
QL8zvv16,SPAIN 1,ROUND 7,2025-09-27,11:15,Atl. Madrid,Real Madrid,3.4,2.3,2.88,1.3,3.4,2.5,1.5,6.0,1.13,3.0,3.6,2.3,1.03,15.0,1.22,4.33,1.67,2.2,2.75,1.44,5.0,1.17,1.57,2.25,1.57,1.29,1.36,15.0,10.0,13.0,21.0,12.0,7.0,9.0,17.0,17.0,11.0,12.0,23.0,29.0,21.0,26.0,41.0,126.0
YPhrbo4c,NETHERLANDS 1,ROUND 7,2025-09-27,11:30,Ajax,NAC Breda,1.67,3.0,7.5,1.18,4.5,1.95,1.85,4.0,1.22,1.29,5.75,9.0,1.01,23.0,1.1,7.0,1.36,3.1,1.83,1.83,3.0,1.36,1.67,2.1,1.07,1.14,3.5,26.0,29.0,51.0,101.0,12.0,12.0,23.0,51.0,8.5,9.5,17.0,41.0,9.5,10.0,21.0,41.0,151.0
xQB5vRrR,FRANCE 1,ROUND 6,2025-09-27,12:00,Lorient,Monaco,5.0,2.5,2.05,1.25,3.75,2.2,1.62,5.0,1.17,5.5,4.1,1.6,1.03,15.0,1.17,5.0,1.57,2.38,2.3,1.62,4.0,1.25,1.62,2.2,2.3,1.22,1.14,17.0,9.5,9.0,13.0,19.0,8.0,8.5,12.0,29.0,17.0,13.0,21.0,51.0,34.0,34.0,41.0,126.0
rcPitqKi,AUSTRIA 1,ROUND 8,2025-09-27,12:00,BW Linz,Altach,3.6,2.0,3.25,1.5,2.5,3.4,1.3,10.0,1.06,2.82,3.3,2.4,1.08,8.0,1.4,2.75,2.3,1.6,4.33,1.2,10.0,1.06,2.0,1.75,1.53,1.33,1.4,8.0,7.0,11.0,23.0,7.5,6.5,10.0,21.0,13.0,11.0,17.0,34.0,29.0,26.0,41.0,67.0,401.0
W4tzO14N,AUSTRIA 1,ROUND 8,2025-09-27,12:00,Ried,Grazer AK,2.63,2.2,4.0,1.36,3.0,2.75,1.4,8.0,1.08,2.01,3.4,3.6,1.06,10.0,1.29,3.5,1.95,1.85,3.4,1.3,6.5,1.11,1.75,2.0,1.29,1.3,1.73,10.0,11.0,19.0,41.0,7.5,6.5,13.0,29.0,10.0,9.0,13.0,34.0,19.0,17.0,26.0,51.0,201.0
Sls5IuSp,AUSTRIA 1,ROUND 8,2025-09-27,12:00,Wolfsberger AC,LASK,2.5,2.3,4.0,1.33,3.25,2.63,1.44,6.5,1.11,1.86,3.6,3.75,1.04,13.0,1.22,4.0,1.8,2.0,2.75,1.4,5.5,1.14,1.67,2.1,1.25,1.29,1.83,13.0,13.0,21.0,41.0,8.5,7.0,13.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
p2FtTDQh,CYPRUS 1,ROUND 5,2025-09-27,13:00,AEL Limassol,Chloraka,2.27,2.15,4.9,1.44,2.67,2.92,1.37,6.6,1.09,1.65,3.9,4.75,1.06,7.9,1.31,3.3,1.9,1.83,3.2,1.32,5.7,1.12,1.9,1.8,1.21,1.24,2.25,7.9,11.75,28.0,90.0,6.4,7.8,16.5,50.0,7.9,8.75,19.0,60.0,13.0,14.5,32.0,100.0,900.0
KtZU6N9j,CYPRUS 1,ROUND 5,2025-09-27,13:00,Krasava,AEK Larnaca,5.5,2.18,2.12,1.42,2.77,2.77,1.42,6.2,1.1,5.5,3.65,1.62,1.08,7.1,1.36,3.0,2.05,1.72,3.5,1.27,6.3,1.1,2.02,1.7,2.32,1.26,1.16,7.1,5.7,7.3,12.5,12.0,7.5,8.75,15.0,35.0,19.5,21.0,35.0,120.0,75.0,80.0,120.0,1250.0
SAIhXSvH,ITALY 1,ROUND 5,2025-09-27,13:00,Juventus,Atalanta,2.5,2.2,4.75,1.4,2.75,2.75,1.4,8.0,1.08,1.85,3.6,4.2,1.06,10.0,1.33,3.4,2.03,1.83,3.5,1.3,6.5,1.11,1.91,1.91,1.22,1.29,1.91,10.0,11.0,21.0,41.0,7.0,6.5,15.0,34.0,8.5,8.5,15.0,41.0,15.0,15.0,29.0,51.0,301.0
